Family,Model,Verb,Command,Description,SCPI,SCPI (short),Arguments,Arg kind,Arg values,Instance params,Group,Subsystem,Returns,Return type,Return unit,Return fields,SCPI statements,Unverified,File
DMM,34401A,NAB,Get_Calculate_Limit_Upper,Math Operations,CALCulate:LIMit:UPPer?,CALC:LIM:UPP?,,,,,,CALC,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calculate_Null_Offset,Get calculate null offset,CALCulate:NULL:OFFSet?,CALC:NULL:OFFS?,,,,,,CALC,1,NR3,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calculate_State,Get calculate state,CALCulate:STATe?,CALC:STAT?,,,,,,CALC,1,BOOL,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calibration_Count,Calibration Count,CALibration:COUNt?,CAL:COUN?,,,,,,CAL,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calibration_Secure_State,Calibration Overview,CALibration:SECure:STATe?,CAL:SEC:STAT?,,,,,,CAL,1,BOOL,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calibration_String,Calibration Message,CALibration:STRing?,CAL:STR?,,,,,,CAL,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calibration_Value,Calibration Commands,CALibration:VALue?,CAL:VAL?,,,,,,CAL,1,NR3,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Data_Feed,Math Operations,DATA:FEED?,,,,,,,DATA,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Data_Points,Get data points,DATA:POINts?,DATA:POIN?,,,,,,DATA,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Db_Reference,Math Operation Commands,:DB:REFerence?,:DB:REF?,,,,,,DB,1,CRD,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Detector_Bandwidth,Get detector bandwidth,DETector:BANDwidth?,DET:BAND?,,,,,,DET,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Display_Text,Get display text,DISPlay:TEXT?,DISP:TEXT?,,,,,,DISP,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Ese,Get ese,*ESE?,,,,,,,Common,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Esr,Get esr,*ESR?,,,,,,,Common,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Frequency_Aperture,Measurement Configuration,FREQuency:APERture?,FREQ:APER?,,,,,,FREQ,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Frequency_Voltage_Range,Get frequency voltage range,FREQuency:VOLTage:RANGe?,FREQ:VOLT:RANG?,,,,,,FREQ,1,NR3,V,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Fresistance_Nplcycles,Get fresistance nplcycles,FRESistance:NPLCycles?,FRES:NPLC?,,,,,,FRES,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Fresistance_Range,Get fresistance range,FRESistance:RANGe?,FRES:RANG?,,,,,,FRES,1,NR3,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Fresistance_Resolution,Measurement Configuration Commands,FRESistance:RESolution?,FRES:RES?,,,,,,FRES,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Limit_Lower,Get limit lower,:LIMit:LOWer?,:LIM:LOW?,,,,,,LIM,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Limit_Upper,Get limit upper,:LIMit:UPPer?,:LIM:UPP?,,,,,,LIM,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Math_Stats,"Read min, max and average in one transaction",:CALCulate:AVERage:MINimum?;:CALCulate:AVERage:MAXimum?;:CALCulate:AVERage:AVERage?,:CALC:AVER:MIN?;:CALC:AVER:MAX?;:CALC:AVER:AVER?,,,,,Statistics and Calc Results,CALCulate,3,?; ?; NR1,; ; ,minimum; maximum; average,3,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Measure_Continuity,The MEASure? and CONFigure Commands,MEASure:CONTinuity?,MEAS:CONT?,,,,,,MEAS,1,BOOL,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Measure_Diode,Get measure diode,MEASure:DIODe?,MEAS:DIOD?,,,,,,MEAS,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Measure_Fresistance,Get measure fresistance,MEASure:FRESistance?,MEAS:FRES?,,,,,,MEAS,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Measure_Period,Get measure period,MEASure:PERiod?,MEAS:PER?,,,,,,MEAS,1,NR3,s,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Null_Offset,Math Operation Commands,:NULL:OFFSet?,:NULL:OFFS?,,,,,,NULL,1,NR3,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Opc,Get opc,*OPC?,,,,,,,Common,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Period_Aperture,Measurement Configuration,PERiod:APERture?,PER:APER?,,,,,,PER,1,NR3,s,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Period_Voltage_Range,Get period voltage range,PERiod:VOLTage:RANGe?,PER:VOLT:RANG?,,,,,,PER,1,NR3,V,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Psc,Get psc,*PSC?,,,,,,,Common,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Questionable_Enable,Status Reporting Commands,:QUEStionable:ENABle?,:QUES:ENAB?,,,,,,QUES,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Questionable_Event,Status Reporting Commands,:QUEStionable:EVENt?,:QUES:EVEN?,,,,,,QUES,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Resolution_Nplcycles,Get resolution nplcycles,RESistance:NPLCycles?,RES:NPLC?,,,,,,RES,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Resolution_Range,Get resolution range,RESistance:RANGe?,RES:RANG?,,,,,,RES,1,NR3,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Resolution_Resolution,Measurement Configuration Commands,RESistance:RESolution?,RES:RES?,,,,,,RES,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Route_Terminals,Front / Rear Input Terminal Switching,ROUTe:TERMinals?,ROUT:TERM?,,,,,,ROUT,1,CRD,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Sample_Count,Get sample count,SAMP:COUN?,,,,,,,SAMP,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Secure_State,Calibration Commands,:SECure:STATe?,:SEC:STAT?,,,,,,SEC,1,BOOL,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Sre,Get sre,*SRE?,,,,,,,Common,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_State_Questionable_Enable,The SCPI Status Model,STATus:QUEStionable:ENABle?,STAT:QUES:ENAB?,,,,,,STAT,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_State_Questionable_Event,Get state questionable event,STATus:QUEStionable:EVENt?,STAT:QUES:EVEN?,,,,,,STAT,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Stb,Get stb,*STB?,,,,,,,Common,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_System_Beeper_State,System-Related Commands,SYSTem:BEEPer:STATe?,SYST:BEEP:STAT?,,,,,,SYST,1,BOOL,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_System_Version,SCPI Language Version Query,SYSTem:VERSion?,SYST:VERS?,,,,,,SYST,1,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Trigger_Count,Get trigger count,TRIGger:COUNt?,TRIG:COUN?,,,,,,TRIG,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Trigger_Delay,Get trigger delay,TRIGger:DELay?,TRIG:DEL?,,,,,,TRIG,1,NR3,s,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Trigger_Source,Trigger Source Choices,TRIGger:SOURce?,TRIG:SOUR?,,,,,,TRIG,1,CRD,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Tst,Get tst,*TST?,,,,,,,Common,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Voltage_Range,An Introduction to the SCPI Language,VOLTage:RANGe?,VOLT:RANG?,,,,,,VOLT,1,NR3,V,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,MEASure_Resistance,MEASure Resistance,MEASure:RESistance?,MEAS:RES?,,,,,MEASure Queries,MEASure,1,,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,MEASure_Voltage_AC,MEASure Voltage AC,MEASure:VOLTage:AC?,MEAS:VOLT:AC?,,,,,MEASure Queries,MEASure,1,NR3,V,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,MEASure_Voltage_DC,MEASure Voltage DC,MEASure:VOLTage:DC?,MEAS:VOLT:DC?,,,,,MEASure Queries,MEASure,1,NR3,V,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Measure_AC_Voltage,Measure AC Voltage,":MEASure:VOLTage:AC? <range>,<resolution>",":MEAS:VOLT:AC? <range>,<resolution>",range; resolution,,,,Configure and Measure immediately,MEASure,1,NR3,V,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Measure_DC_Current,Measure DC Current,":MEASure:CURRent:DC? <range>,<resolution>",":MEAS:CURR:DC? <range>,<resolution>",range; resolution,,,,Configure and Measure immediately,MEASure,1,NR3,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Measure_DC_Voltage,Measure DC Voltage,":MEASure:VOLTage:DC? <range>,<resolution>",":MEAS:VOLT:DC? <range>,<resolution>",range; resolution,,,,Configure and Measure immediately,MEASure,1,NR3,V,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Measure_Frequency,Measure Frequency,":MEASure:FREQuency? <range>,<resolution>",":MEAS:FREQ? <range>,<resolution>",range; resolution,,,,Configure and Measure immediately,MEASure,1,,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Measure_Resistance_2Wire,Measure Resistance (2W),":MEASure:RESistance? <range>,<resolution>",":MEAS:RES? <range>,<resolution>",range; resolution,,,,Configure and Measure immediately,MEASure,1,,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Query_Average,Query Average,:CALCulate:AVERage:AVERage?,:CALC:AVER:AVER?,,,,,Statistics and Calc Results,CALCulate,1,NR1,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Query_Max,Query Max,:CALCulate:AVERage:MAXimum?,:CALC:AVER:MAX?,,,,,Statistics and Calc Results,CALCulate,1,,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Query_Min,Query Min,:CALCulate:AVERage:MINimum?,:CALC:AVER:MIN?,,,,,Statistics and Calc Results,CALCulate,1,,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Read_Error,Read Error,:SYSTem:ERRor?,:SYST:ERR?,,,,,System Utilities,SYSTem,1,NR2,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Read_IDN,Read IDN,*IDN?,,,,,,Common Commands,Common,1,AARD,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Read_Next,Read Next,:READ?,,,,,,Fetch data after INITiate,MEASure,1,,,,1,,DMM/34401A/commands.json
DMM,34401A,RIG,Config_AC_Volts,Config AC Volts,":CONFigure:VOLTage:AC <range>,<resolution>",":CONF:VOLT:AC <range>,<resolution>",range; resolution,numeric,,,Preset meter for specific function,CONFigure,,,,,1,,DMM/34401A/commands.json
DMM,34401A,RIG,Config_DC_Volts,Config DC Volts,":CONFigure:VOLTage:DC <range>,<resolution>",":CONF:VOLT:DC <range>,<resolution>",range; resolution,numeric,,,Preset meter for specific function,CONFigure,,,,,1,,DMM/34401A/commands.json
DMM,34401A,RIG,Config_Resistance_4Wire,Config Resistance 4Wire,":CONFigure:FRESistance <range>,<resolution>",":CONF:FRES <range>,<resolution>",range; resolution,unknown,,,Preset meter for specific function,CONFigure,,,,,1,,DMM/34401A/commands.json
DMM,34401A,RIG,Config_Temperature,Config Temperature,":CONFigure:TEMPerature <probe_type>,<sensor_type>",":CONF:TEMP <probe_type>,<sensor_type>",probe_type; sensor_type,unknown,,,Preset meter for specific function,CONFigure,,,,,1,,DMM/34401A/commands.json
DMM,34401A,RIG,Setup_Limits,Set both comparator limits in one transaction,:CALCulate:LIMit:LOWer <lower>;:CALCulate:LIMit:UPPer <upper>,:CALC:LIM:LOW <lower>;:CALC:LIM:UPP <upper>,lower; upper,unknown,,,Math and Limits Setup,CALCulate,,,,,2,yes,DMM/34401A/commands.json
DMM,34401A,SET,Display_Text,Display Text,:DISPlay:TEXT <string>,:DISP:TEXT <string>,string,unknown,,,System Utilities,SYSTem,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Enable_Math,Enable Math,:CALCulate:STATe <state>,:CALC:STAT <state>,state,bool,OFF; ON,,Math and Limits Setup,CALCulate,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_AC_Bandwidth,Set AC Bandwidth,:SENSe:VOLTage:AC:BANDwidth <filter>,:SENS:VOLT:AC:BAND <filter>,filter,numeric,,,Measurement Parameters,SENSe,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Autorange,Set Autorange,:SENSe:VOLTage:DC:RANGe:AUTO <state>,:SENS:VOLT:DC:RANG:AUTO <state>,state,bool,OFF; ON,,"SCOPED TO DC VOLTS on purpose: the 34401A has no function-agnostic autorange command, so :SENSe:VOLTage:DC:RANGe:AUTO is what a panel AUTO RANGE control can address. Selecting another function turns its own autorange on by default, which is why this is adequate for a bench panel and would not be for a test sequence.",Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Beeper_State,System-Related Commands,:BEEPer:STATe <value>,:BEEP:STAT <value>,value,bool,OFF; ON,,,BEEP,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Calibration_Secure_State,Calibration Overview,CALibration:SECure:STATe <value>,CAL:SEC:STAT <value>,value,bool,OFF; ON,,,CAL,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Calibration_String,Calibration Message,CALibration:STRing <value>,CAL:STR <value>,value,unknown,,,,CAL,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Calibration_Value,Calibration Commands,CALibration:VALue <value>,CAL:VAL <value>,value,numeric,,,,CAL,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_DCV_Range,Set DCV Range,:SENSe:VOLTage:DC:RANGe <range>,:SENS:VOLT:DC:RANG <range>,range,numeric,,,Measurement Parameters,SENSe,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Data_Feed,Math Operations,DATA:FEED <value>,,value,unknown,,,,DATA,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Db_Reference,Math Operation Commands,:DB:REFerence <value>,:DB:REF <value>,value,enum,,,,DB,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Detector_Bandwidth,Set detector bandwidth,DETector:BANDwidth <value>,DET:BAND <value>,value,unknown,,,,DET,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Ese,Set ese,*ESE <value>,,value,integer,,,,Common,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Frequency_Aperture,Measurement Configuration,FREQuency:APERture <value>,FREQ:APER <value>,value,unknown,,,,FREQ,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Frequency_Voltage_Range,Set frequency voltage range,FREQuency:VOLTage:RANGe <value>,FREQ:VOLT:RANG <value>,value,numeric,,,,FREQ,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Fresistance_Nplcycles,Set fresistance nplcycles,FRESistance:NPLCycles <value>,FRES:NPLC <value>,value,integer,,,,FRES,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Fresistance_Range,Set fresistance range,FRESistance:RANGe <value>,FRES:RANG <value>,value,numeric,,,,FRES,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Fresistance_Resolution,Measurement Configuration Commands,FRESistance:RESolution <value>,FRES:RES <value>,value,unknown,,,,FRES,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Input_Impedance,Set Input Impedance,:INPut:IMPedance:AUTO <state>,:INP:IMP:AUTO <state>,state,bool,OFF; ON,,Measurement Parameters,SENSe,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Integration_NPLC,Set Integration NPLC,:SENSe:VOLTage:DC:NPLC <nplc>,:SENS:VOLT:DC:NPLC <nplc>,nplc,integer,,,Measurement Parameters,SENSe,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Limit_Lower,Set limit lower,:LIMit:LOWer <value>,:LIM:LOW <value>,value,unknown,,,,LIM,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Limit_Upper,Set limit upper,:LIMit:UPPer <value>,:LIM:UPP <value>,value,unknown,,,,LIM,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Math_Function,Set Math Function,:CALCulate:FUNCtion <function>,:CALC:FUNC <function>,function,enum,NULL; DB; DBM; AVER; LIM,,Math and Limits Setup,CALCulate,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Null_Offset,Set Null Offset,:CALCulate:NULL:OFFSet <value>,:CALC:NULL:OFFS <value>,value,numeric,,,Math and Limits Setup,CALCulate,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Null_Offset_Alt,Math Operation Commands,:NULL:OFFSet <value>,:NULL:OFFS <value>,value,numeric,,,,NULL,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Period_Aperture,Measurement Configuration,PERiod:APERture <value>,PER:APER <value>,value,numeric,,,,PER,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Period_Voltage_Range,Set period voltage range,PERiod:VOLTage:RANGe <value>,PER:VOLT:RANG <value>,value,numeric,,,,PER,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Psc,Set psc,*PSC <value>,,value,unknown,,,,Common,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Questionable_Enable,Status Reporting Commands,:QUEStionable:ENABle <value>,:QUES:ENAB <value>,value,integer,,,,QUES,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Resolution_Nplcycles,Set resolution nplcycles,RESistance:NPLCycles <value>,RES:NPLC <value>,value,integer,,,,RES,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Resolution_Range,Set resolution range,RESistance:RANGe <value>,RES:RANG <value>,value,numeric,,,,RES,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Resolution_Resolution,Measurement Configuration Commands,RESistance:RESolution <value>,RES:RES <value>,value,unknown,,,,RES,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Sample_Count,Set Sample Count,:SAMPle:COUNt <count>,:SAMP:COUN <count>,count,integer,,,Setup Trigger Model,TRIGger,,,,,1,,DMM/34401A/commands.json
DMM,34401A,SET,Set_Secure_State,Calibration Commands,:SECure:STATe <value>,:SEC:STAT <value>,value,bool,OFF; ON,,,SEC,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_Sre,Set sre,*SRE <value>,,value,integer,,,,Common,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,SET,Set_State_Questionable_Enable,The SCPI Status Model,STATus:QUEStionable:ENABle <value>,STAT:QUES:ENAB <value>,value,integer,,,,STAT,,,,,1,yes,DMM/34401A/commands.json
