011211.622 | DEBUG    | SUP  | SYSTEM     | oaConfiguration.Managers.config_reader | 📜 [CONFIG] Loaded: Version 20251225, Debug: True
011251.282 | DEBUG    | CORE | SYSTEM     | oaComMQTT.core.mqtt  | 🚀📤📥 [MQTT] MqttManager initialized with Async Publisher.
011251.282 | DEBUG    | CORE | SYSTEM     | oaThreadManager.launcher | 🚀⚙️🔗 [LAUNCHER] Injecting dynamic protocols...
011251.329 | DEBUG    | CORE | ROUTER     | oaComBroker.Core.protocol_router.settle | ⏳⏳🔄 [ROUTER] Settling: Firing final LINK_FEEDBACK for OPEN-AIR/System/Status/Splinker/List
011251.329 | DEBUG    | CORE | ROUTER     | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] SYSTEM on OPEN-AIR/System/Status/Splinker/List: []
011251.346 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_fleet | 💳🚢🔍 [VISA] Initializing FleetOrchestrator.
011251.347 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_json | 🛠️ VisaJsonBuilder initialized with 142 known devices.
011251.347 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_csv | Initializing with JSON Path: /home/anthony/Documents/OPEN-AIR/oaOchestration/.pytest_cache/oaDataState/STATE_VISA_FLEET.json
011251.347 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_csv | CSV Output Directory: /home/anthony/Documents/OPEN-AIR/oaOchestration/.pytest_cache/oaDataState/CSV
011251.347 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.fleet_mqtt_bridge | Initializing MqttFleetBridge. Prefix: OPEN-AIR
011251.347 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Control/Fleet/Scan
011251.347 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.fleet_mqtt_bridge | MqttFleetBridge subscribed to: OPEN-AIR/System/Control/Fleet/Scan
011251.347 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_json | ℹ️ No existing inventory file found at /home/anthony/Documents/OPEN-AIR/oaOchestration/.pytest_cache/oaDataState/STATE_VISA_FLEET.json. Initializing empty inventory and creating file.
011251.347 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_json | ✅ Atomically saved fleet inventory to /home/anthony/Documents/OPEN-AIR/oaOchestration/.pytest_cache/oaDataState/STATE_VISA_FLEET.json
011251.366 | SUCCESS  | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_fleet | ✅ [SUCCESS] FleetOrchestrator initialized.
011251.367 | DEBUG    | CORE | SYSTEM     | oaTranslator.yak_translator | 🟡 YAK repository file not found or empty at /home/anthony/Documents/OPEN-AIR/oaOchestration/.pytest_cache/oaDataState/YAKETYYAK.json. Initializing empty repository.
011251.367 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/yak/commands/#
011251.367 | DEBUG    | CORE | SYSTEM     | oaTranslator.yak_translator | 👂 Subscribed to YAK trigger topic: 'OPEN-AIR/yak/commands/#'
011251.367 | SUCCESS  | CORE | SYSTEM     | oaTranslator.yak_translator | ✅ YakTranslator initialized and ready to translate!
011251.368 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/Proxy/Rx_Outbox
011251.368 | SUCCESS  | CORE | SYSTEM     | oaTranslator.yak_rx  | ✅✅✅ [SUCCESS] YakRxManager subscribed to 'OPEN-AIR/Proxy/Rx_Outbox' for proxy responses.
011251.369 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Status/Fleet/Start
011251.369 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Status/Fleet/Complete
011251.645 | DEBUG    | CORE | SYSTEM     | oaThreadManager.launcher | 🚀⚙️🔗 [LAUNCHER] Linking cross-dependent managers...
011251.645 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Control/Splinker/#
011251.645 | DEBUG    | CORE | SYSTEM     | oaThreadManager.launcher | 🚀⚙️🔗 [LAUNCHER] Starting all manager services...
011251.668 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: Mbox 2:Mbox 2 MIDI 1 28:0
011251.669 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: Midi Through:Midi Through Port-0 14:0
011251.669 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 OUTPUT READY: Midi Through:Midi Through Port-0 14:0
011251.669 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 OUTPUT READY: Mbox 2:Mbox 2 MIDI 1 28:0
011251.669 | DEBUG    | CORE | ROUTER     | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MIDI on OPEN-AIR/System/Status/MIDI/ActiveInputs: ['Mbox 2:Mbox 2 MIDI 1 28:0', 'Midi Through:Midi Through Port-0 14:0']
011251.670 | DEBUG    | CORE | ROUTER     | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MIDI on OPEN-AIR/System/Status/MIDI/ActiveOutputs: ['Midi Through:Midi Through Port-0 14:0', 'Mbox 2:Mbox 2 MIDI 1 28:0']
011251.670 | DEBUG    | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_fleet | 💳🚢🔍 [VISA] FleetOrchestrator Started.
011251.670 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/PTP/Capture
011251.187 | DEBUG    | SUP  | SYSTEM     | oaConfiguration.Managers.config_reader | 📜 [CONFIG] Loaded: Version 20251225, Debug: True
011251.187 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Launching OPEN-AIR Partitions... (Mission Critical: False)
011251.187 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Session Identity established (Randomized): DF5020005D308B25
011251.187 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Spawning Partition B (UI)...
011251.188 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Spawning Partition A (Core)...
011251.188 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: System Running. Monitoring child processes...
011251.688 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: 👋 UI exited (Code 1). System complete.
011251.688 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Terminating child processes...
011251.788 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Supervisor shutdown complete. Goodbye.
